0,1,,,,,,,,,,,,,,,,,C,,C,,B,,,,,,,,,X,X,X
1,2,,,,,,,,,,,,,,,,,,C,,B,,C,,,,,,A,,X,X,X
2,1,D,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,X,X,X
3,2,D,,F,,G,,,B,E,,,,,,,,,,,,,,,,,,,,,X,X,X
4,1,A,E,F,C,I,B,F,C,F,A,,,D,B,,,,A,,A,,A,,,,C,,D,,X,,X
5,2,,E,E,,,A,,,C,,,,,,,,,A,,,,,,,,,,E,,X,X,
6,2,,,,,B,,D,,E,,,,,,E,B,,,,A,,,,,,,,,J,X,,X
7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,,X,X
8,1,,,,,,,B,,D,,,,,,F,,C,D,B,,,,C,,,B,,,,X,X,X
9,1,,,,,,,,,,,,,,,,,,,,,,,,,,B,,B,,X,X,
10,2,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,X,X,X
11,2,,A,C,A,E,C,D,C,H,,,,C,,,D,D,,,,D,,,,,,,,,X,X,X
12,2,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,X,X,X
13,2,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,X,X,X
14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,X,X,X
15,1,,,,,,,,,,,,,,,,,,,A,,E,,,,,,,,,X,X,X
16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,I,X,X,X
17,1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,X,X,X
18,2,,B,A,,H,,D,,C,,B,,C,,B,,,,,,,,,,,,,,,X,X,X
19,1,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,X,X,X
20,1,E,,,,G,,C,,D,,A,,C,,E,,,,C,B,,A,,C,,C,,D,,X,X,
21,2,,F,C,B,,,I,,,,,,,,,,,,,,,,,,,,,,,X,X,X
22,2,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,I,X,X,X
23,2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,X,X,X
24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
25,1,B,D,,,I,C,G,,,,,,,,,,,,,,,,,,,,,,,,X,X
26,1,E,B,,,A,,E,,A,,A,,A,,,,,,,,,,,,,,,,,X,X,X
27,2,B,,F,,E,,,,,,,,D,,,,,A,,,,,,,,,,,,X,X,X
28,2,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
29,2,,F,,,,,A,,,,,B,,,,,,,,,,,,,,,,,,X,X,X
30,2,,C,,A,,,,,B,,,,A,,,,,,,,,,,,,,,,,X,X,X
31,1,,,G,,,,E,,,,,,,,,,,,,,,,,,,,,,,X,X,X
32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,G,X,X,X
33,2,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,X,X,X
34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X
35,2,C,A,,B,,,C,,,,,,,,,,,,,,,,,,,,,,,X,X,X
36,2,,,,A,,C,,,,,,B,,A,,B,,C,,C,,A,,B,,A,,,F,X,X,
37,1,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
38,2,,,,,,,,,,,,,,A,,C,,,,A,,,,,,,,,,X,X,X
39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,X,,X
40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,
41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,X,X,X
42,1,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,A,,X,X
43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,,X,X,X
44,1,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,X,X,X
45,1,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,X,X,X
46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,X,X,
47,2,,,,,,,I,,,,,,,,C,,,A,,,D,,B,,,,,,D,,X,X
48,2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,X,X,X
49,1,,,,,,,,,,,,,,,,,,,,,B,,C,A,,B,,A,,X,X,X
50,2,,,,,,,,,,,,,,B,,C,,,,,,,,,,,,,,X,X,X
51,2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,X,X,X
52,2,,F,F,B,A,,,A,B,,,,,B,A,,,,,,,,,,,,,,,X,X,X
53,2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,X,
55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,X,X,
56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,X,X,X
57,3,,,,,,,,,,,,,,,,,D,,B,,A,,A,,,,,C,I,X,,X
58,2,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,A,X,X,X
59,2,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,X,X,X
