1,,,,,,,,,,,,,,,,,C,,C,,B,,,,,,,,
2,,,,,,,,,,,,,,,,,,C,,B,,C,,,,,,A,
1,D,,,,,,,,,,,,B,,,,,,,,,,,,,,,,
2,D,,F,,G,,,B,E,,,,,,,,,,,,,,,,,,,,
1,A,E,F,C,I,B,F,C,F,A,,,D,B,,,,A,,A,,A,,,,C,,D,
2,,E,E,,,A,,,C,,,,,,,,,A,,,,,,,,,,E,
2,,,,,B,,D,,E,,,,,,E,B,,,,A,,,,,,,,,J
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K
1,,,,,,,B,,D,,,,,,F,,C,D,B,,,,C,,,B,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,B,,B,
2,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,
2,,A,C,A,E,C,D,C,H,,,,C,,,D,D,,,,D,,,,,,,,
2,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E
1,,,,,,,,,,,,,,,,,,,A,,E,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,I
1,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,
2,,B,A,,H,,D,,C,,B,,C,,B,,,,,,,,,,,,,,
1,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,
1,E,,,,G,,C,,D,,A,,C,,E,,,,C,B,,A,,C,,C,,D,
2,,F,C,B,,,I,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,I
2,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,
1,B,D,,,I,C,G,,,,,,,,,,,,,,,,,,,,,,
1,E,B,,,A,,E,,A,,A,,A,,,,,,,,,,,,,,,,
2,B,,F,,E,,,,,,,,D,,,,,A,,,,,,,,,,,
2,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,
2,,F,,,,,A,,,,,B,,,,,,,,,,,,,,,,,
2,,C,,A,,,,,B,,,,A,,,,,,,,,,,,,,,,
1,,,G,,,,E,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,G
2,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,
2,C,A,,B,,,C,,,,,,,,,,,,,,,,,,,,,,
2,,,,A,,C,,,,,,B,,A,,B,,C,,C,,A,,B,,A,,,F
1,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,A,,C,,,,A,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
1,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,A
2,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,
1,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,
1,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,
2,,,,,,,I,,,,,,,,C,,,A,,,D,,B,,,,,,D
2,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,B,,C,A,,B,,A,
2,,,,,,,,,,,,,,B,,C,,,,,,,,,,,,,
2,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,
2,,F,F,B,A,,,A,B,,,,,B,A,,,,,,,,,,,,,,
2,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J
1,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,
2,,,,,,,,,,,,,,,,,D,,B,,A,,A,,,,,,I
2,,,,,,,,,,,,,,,,,,,,,,,A,,,,A,,A
2,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
2,A,,E,,C,,,,G,,,,,,C,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
2,,D,,,E,,J,,,,,,,,,,,,,,,,,,,,,,
2,E,,A,,,,,,G,,C,,,,D,,A,,,,A,,,,,,B,,H
1,D,B,,D,,A,G,C,A,,,C,A,,,,,D,C,B,C,,,,,,,,
1,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
1,,,,,,,,,,,,,,,,,,,C,C,B,B,,C,,,,,
1,E,,G,,,,A,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,B,,,,,D,,A,,,,,,A
2,,,,,H,,E,,,,,,,,,,,,,,,,,,,,,,
