	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
0	0	66.0	70.0	8.0	76.0	44.0	49.0	20.0	116.0	91.0																																										
1	1	66.0	99.0	36.0	130.0	113.0	49.0	115.0	20.0	116.0	87.0	122.0	124.0	94.0																																						
2	129	2.0	3.0	66.0	76.0	109.0	87.0	91.0																																												
3	2	3.0	66.0	4.0	37.0	103.0	27.0	6.0	74.0	76.0	109.0	110.0	108.0	81.0	52.0	20.0	91.0																																			
4	128	130.0	3.0	4.0	5.0	6.0	11.0	19.0	20.0	25.0	27.0	36.0	38.0	42.0	46.0	47.0	50.0	52.0	61.0	66.0	67.0	70.0	75.0	76.0	82.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	101.0	105.0	108.0	110.0	113.0	115.0	116.0	117.0	119.0	120.0										
5	130	4.0	5.0	18.0	27.0	43.0	47.0	53.0	61.0	66.0	75.0	76.0	90.0	92.0	99.0	102.0	105.0	106.0	113.0																																	
6	129	3.0	4.0	6.0	11.0	18.0	20.0	36.0	38.0	55.0	62.0	72.0	75.0	81.0	93.0	94.0	110.0	115.0	116.0	119.0																																
7	7	42.0	84.0	54.0	87.0	91.0	95.0																																													
8	128	0.0	8.0	9.0	20.0	45.0	48.0	49.0	57.0	66.0	75.0	76.0	81.0	91.0	95.0	99.0	102.0	105.0	115.0	116.0	119.0	125.0																														
9	32	130.0	69.0	8.0	9.0	105.0	75.0	49.0	115.0	116.0	117.0	20.0	54.0	90.0																																						
10	105	10.0	50.0	38.0																																																
11	130	4.0	6.0	11.0	13.0	18.0	20.0	21.0	25.0	27.0	30.0	35.0	36.0	42.0	47.0	57.0	64.0	66.0	72.0	86.0	92.0	93.0	99.0	103.0	105.0	108.0	109.0	110.0	113.0	115.0	121.0																					
12	12	52.0	127.0																																																	
13	11	92.0	13.0																																																	
14	117	14.0	111.0																																																	
15	75	76.0	15.0	17.0	118.0	91.0	127.0																																													
16	131	100.0	105.0	75.0	16.0	84.0	54.0	22.0	57.0	122.0																																										
17	75	15.0	17.0	118.0	91.0	127.0																																														
18	129	130.0	5.0	6.0	11.0	18.0	20.0	26.0	65.0	66.0	73.0	80.0	88.0	93.0	105.0	106.0	107.0	108.0	115.0																																	
19	108	19.0	4.0																																																	
20	0	1.0	130.0	3.0	4.0	6.0	8.0	9.0	11.0	18.0	20.0	26.0	35.0	36.0	37.0	46.0	54.0	65.0	66.0	70.0	71.0	74.0	81.0	88.0	92.0	94.0	97.0	99.0	102.0	105.0	108.0	110.0	113.0	115.0	116.0	117.0	120.0	121.0	122.0													
21	33	35.0	11.0	47.0	52.0	21.0	92.0	29.0																																												
22	66	100.0	75.0	16.0	81.0	22.0	119.0	86.0	57.0																																											
23	66	126.0	23.0																																																	
24	24																																																			
25	64	97.0	66.0	99.0	4.0	36.0	68.0	103.0	72.0	91.0	11.0	108.0	109.0	111.0	85.0	25.0	27.0																																			
